Kicker 1,Kicker 1,Kicker 1,,Kicker 2,Kicker 2,Kicker 2,Kicker 2,Kicker 2,Kicker 2
,,,,,,,,,
(s),(Degs/s),(Degs/s),,(s),(degrees)                ,(degrees)                ,(s),(Degs/s),(Degs/s)
TIME,Thigh Ang Vel,Shank Ang Vel,,TIME,Thigh Angle,Shank Angle,TIME,Thigh Ang Vel,Shank Ang Vel
0.2,645.4,501.4,,0.2,15.267,-48.704,0.2,,697.6
0.203,655.6,563.2,,0.203,16.859,-46.908,0.203,,739.6
0.205,664.2,626.0,,0.205,18.454,-45.006,0.205,,782.2
0.208,670.0,688.8,,0.208,20.049,-42.997,0.208,,824.8
0.21,673.0,751.0,,0.21,21.643,-40.882,0.21,,866
0.213,673.6,811.6,,0.213,23.233,-38.667,0.213,,904.4
0.215,671.2,869.6,,0.215,24.818,-36.36,0.215,,938.2
0.218,666.6,925.0,,0.218,26.397,-33.976,0.218,,966
0.22,660.4,977.8,,0.22,27.967,-31.53,0.22,,988.4
0.223,652.6,1028.4,,0.223,29.527,-29.034,0.223,,1006.2
0.225,643.4,1077.0,,0.225,31.074,-26.499,0.225,,1020.4
0.228,632.2,1124.2,,0.228,32.604,-23.932,0.228,,1031.6
0.23,619.0,1170.2,,0.23,34.113,-21.341,0.23,,1039.4
0.233,603.6,1214.2,,0.233,35.595,-18.735,0.233,,1042.8
0.235,584.8,1254.8,,0.235,37.044,-16.127,0.235,,1040
0.238,562.4,1289.4,,0.238,38.455,-13.535,0.238,,1029.4
0.24,536.4,1314.8,,0.24,39.824,-10.98,0.24,,1011.6
0.243,506.8,1327.8,,0.243,41.144,-8.477,0.243,,988.4
0.245,473.8,1326.8,,0.245,42.412,-6.038,0.245,,962.4
0.248,437.8,1312.6,,0.248,43.624,-3.665,0.248,,937.8
0.25,399.0,1289.4,,0.25,44.776,-1.349,0.25,,918
0.253,358.2,1264.2,Ball Contact,0.253,45.866,0.925,0.253,,905
0.255,316.6,1244.8,,0.255,46.892,3.176,0.255,,899.8
0.258,275.8,1224.2,,0.258,47.853,5.424,0.258,,901.6
0.26,237.6,1175.0,,0.26,48.752,7.684,0.26,,837.4
0.263,203.8,1095.6,,0.263,49.591,9.611,0.263,,829
0.265,176.6,1003.4,,0.265,50.375,11.829,0.265,,877
0.268,157.6,905.2,,0.268,51.112,13.996,0.268,,855.6
0.27,146.8,810.4,,0.27,51.809,16.107,0.27,,832.6
0.273,143.4,727.6,,0.273,52.476,18.159,0.273,,808
0.275,146.6,663.2,,0.275,53.118,20.147,0.275,,781.2
0.278,154.0,619.2,,0.278,53.738,22.065,0.278,,751.8
0.28,164.0,592.0,,0.28,54.339,23.906,0.28,,720
0.283,174.6,576.6,,0.283,54.921,25.665,0.283,,686.6
0.285,184.4,566.8,,0.285,55.482,27.339,0.285,,652.6
0.288,193.0,557.2,,0.288,56.025,28.928,0.288,,618.8
0.29,200.0,545.0,,0.29,56.55,30.433,0.29,,586
0.293,205.2,529.4,,0.293,57.063,31.858,0.293,,554.8
0.295,209.4,511.2,,0.295,57.567,33.207,0.295,,524.8
0.298,213.6,492.6,,0.298,58.067,34.482,0.298,,495.8
0.3,218.8,476.2,,0.3,58.567,35.686,0.3,,467
0.303,226.2,464.2,,0.303,59.068,36.817,0.303,,438
0.305,236.4,458.6,,0.305,59.572,37.876,0.305,,409
0.308,250.4,460.0,,0.308,60.078,38.862,0.308,,380
0.31,268.0,468.0,,0.31,60.585,39.776,0.31,,351.6
0.313,289.0,481.0,,0.313,61.092,40.62,0.313,,324.8
0.315,312.0,496.4,,0.315,61.597,41.4,0.315,,299.8
0.318,335.0,511.4,,0.318,62.101,42.119,0.318,,276.6
0.32,356.0,524.0,,0.32,62.606,42.783,0.32,,255.4
0.323,372.8,532.6,,0.323,63.116,43.396,0.323,,236
0.325,383.2,535.4,,0.325,63.636,43.963,0.325,,217.8
0.328,385.4,532.6,,0.328,64.176,44.485,0.328,,200.2
0.33,379.2,525.0,,0.33,64.744,44.964,0.33,,182.6
0.333,,,,0.333,65.348,45.398,0.333,,
